OrderID,CustomerID,ProductID,OrderDate,Quantity,TotalAmount
1,392,8,2024-03-18,1,248.99
2,272,2,2024-09-11,11,4246.11
3,492,3,2024-08-12,3,741.0
4,288,13,2024-03-30,15,6111.15
5,117,10,2024-08-08,18,6691.86
6,323,2,2024-01-09,19,7334.19
7,134,3,2024-10-21,1,247.0
8,143,16,2024-10-06,19,3058.81
9,172,3,2024-03-18,12,2964.0
10,300,5,2024-10-07,17,4941.9
11,231,6,2024-02-28,4,931.84
12,324,13,2024-09-17,12,4888.92
13,184,10,2024-10-16,6,2230.62
14,172,18,2024-07-23,12,3064.56
15,185,15,2024-04-29,18,8837.28
16,373,8,2024-10-08,7,1742.93
17,484,8,2024-03-18,11,2738.89
18,81,5,2024-10-13,8,2325.6
19,94,5,2024-07-23,14,4069.8
20,46,3,2024-08-12,6,1482.0
21,285,11,2024-11-05,10,1972.2
22,175,7,2024-02-28,3,1165.26
23,430,12,2024-04-01,5,893.0
24,370,5,2024-08-02,16,4651.2
25,394,20,2024-04-12,12,5667.24
26,81,7,2024-09-17,16,6214.72
27,66,15,2024-04-12,16,7855.36
28,119,6,2024-03-18,10,2329.6
29,251,10,2024-10-08,5,1858.85
30,119,19,2024-08-12,4,1717.48
31,150,12,2024-11-06,10,1786.0
32,9,4,2024-10-08,12,3857.52
33,385,19,2024-09-07,7,3005.59
34,369,19,2024-05-07,9,3864.33
35,201,18,2024-03-30,11,2809.18
36,26,17,2024-02-11,15,2472.6
37,372,20,2024-01-08,3,1416.81
38,444,16,2024-01-12,16,2575.84
39,396,2,2024-03-26,9,3474.09
40,379,1,2024-10-13,11,2424.62
41,460,6,2024-10-06,12,2795.52
42,381,6,2024-02-20,12,2795.52
43,461,11,2024-06-10,13,2563.86
44,24,5,2024-06-10,5,1453.5
45,330,12,2024-06-17,8,1428.8
46,194,14,2024-06-10,4,1551.16
47,235,20,2024-03-18,9,4250.43
48,228,1,2024-01-08,8,1763.36
49,186,8,2024-10-21,16,3983.84
50,112,16,2024-09-21,6,965.94
51,113,8,2024-04-12,8,1991.92
52,46,16,2024-06-03,1,160.99
53,320,18,2024-08-02,12,3064.56
54,271,11,2024-10-11,3,591.66
55,268,13,2024-06-04,14,5703.74
56,488,5,2024-04-12,10,2907.0
57,354,12,2024-01-06,2,357.2
58,280,16,2024-02-17,13,2092.87
59,427,14,2024-11-06,15,5816.85
60,22,3,2024-02-11,10,2470.0
61,370,14,2024-09-11,14,5429.06
62,245,14,2024-02-11,7,2714.53
63,268,8,2024-03-26,18,4481.82
64,192,11,2024-10-12,18,3549.96
65,76,20,2024-03-18,13,6139.51
66,285,8,2024-06-18,14,3485.86
67,241,7,2024-06-10,14,5437.88
68,4,2,2024-06-04,3,1158.03
69,41,19,2024-01-08,6,2576.22
70,428,9,2024-09-11,16,494.08
71,344,3,2024-09-19,13,3211.0
72,398,17,2024-10-06,10,1648.4
73,144,1,2024-10-04,15,3306.3
74,439,16,2024-02-28,8,1287.92
75,450,14,2024-09-17,3,1163.37
76,379,4,2024-08-12,2,642.92
77,370,12,2024-06-04,5,893.0
78,358,4,2024-03-18,18,5786.28
79,130,2,2024-06-03,1,386.01
80,41,7,2024-05-07,10,3884.2
81,500,11,2024-10-11,4,788.88
82,220,18,2024-08-08,16,4086.08
83,135,8,2024-10-13,17,4232.83
84,471,2,2024-03-18,8,3088.08
85,339,18,2024-10-07,19,4852.22
86,62,2,2024-10-08,14,5404.14
87,85,8,2024-10-16,7,1742.93
88,177,10,2024-11-06,1,371.77
89,309,16,2024-04-12,11,1770.89
90,470,17,2024-07-13,13,2142.92
91,22,9,2024-01-08,6,185.28
92,25,3,2024-06-10,3,741.0
93,340,10,2024-02-17,1,371.77
94,220,20,2024-08-02,10,4722.7
95,204,10,2024-06-17,1,371.77
96,346,6,2024-10-08,11,2562.56
97,266,4,2024-07-13,7,2250.22
98,204,19,2024-03-26,17,7299.29
99,32,14,2024-09-07,18,6980.22
100,100,4,2024-06-04,12,3857.52
101,449,6,2024-02-20,15,3494.4
102,20,18,2024-08-08,5,1276.9
103,315,12,2024-06-08,2,357.2
104,458,15,2024-01-09,19,9328.24
105,83,10,2024-04-12,15,5576.55
106,10,15,2024-03-18,15,7364.4
107,219,8,2024-10-16,17,4232.83
108,246,20,2024-10-13,15,7084.05
109,425,5,2024-01-09,5,1453.5
110,181,11,2024-10-16,17,3352.74
111,5,6,2024-06-17,4,931.84
112,14,13,2024-04-29,5,2037.05
113,358,11,2024-02-17,3,591.66
114,456,16,2024-03-26,18,2897.82
115,430,17,2024-08-08,9,1483.56
116,480,4,2024-10-06,17,5464.82
117,433,20,2024-06-03,9,4250.43
118,402,15,2024-10-08,2,981.92
119,68,15,2024-10-08,12,5891.52
120,116,10,2024-09-11,14,5204.78
121,215,1,2024-06-18,19,4187.98
122,248,12,2024-10-21,1,178.6
123,148,9,2024-10-08,3,92.64
124,375,6,2024-03-26,5,1164.8
125,167,4,2024-10-07,1,321.46
126,157,2,2024-04-29,19,7334.19
127,13,18,2024-09-11,2,510.76
128,219,19,2024-10-16,18,7728.66
129,138,12,2024-10-13,6,1071.6
130,153,20,2024-06-03,12,5667.24
131,278,9,2024-02-17,5,154.4
132,93,4,2024-06-13,5,1607.3
133,446,4,2024-07-23,5,1607.3
134,270,10,2024-06-18,13,4833.01
135,425,17,2024-04-29,17,2802.28
136,61,19,2024-10-13,13,5581.81
137,385,13,2024-01-09,17,6925.97
138,451,17,2024-06-03,6,989.04
139,74,3,2024-01-12,18,4446.0
140,216,7,2024-10-11,17,6603.14
141,57,3,2024-09-17,15,3705.0
142,299,12,2024-01-06,16,2857.6
143,274,17,2024-01-09,8,1318.72
144,89,7,2024-08-08,2,776.84
145,346,10,2024-07-23,17,6320.09
146,170,4,2024-03-26,3,964.38
147,345,15,2024-10-08,10,4909.6
148,95,15,2024-09-17,6,2945.76
149,375,3,2024-06-04,1,247.0
150,27,12,2024-10-21,18,3214.8
151,343,12,2024-01-06,6,1071.6
152,127,5,2024-09-11,16,4651.2
153,461,7,2024-09-21,2,776.84
154,102,13,2024-10-08,19,7740.79
155,476,20,2024-10-11,18,8500.86
156,420,12,2024-06-10,2,357.2
157,449,10,2024-10-13,12,4461.24
158,174,15,2024-02-28,1,490.96
